                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3433,                0.85904,                 1.5894,                0.86237,                0.83975,                0.90024,                0.53916,                 1.3734,                0.87349,                 1.5382,                      0,                      0,                      0
                      2,                 1.2868,                0.82441,                 1.5226,                0.80707,                0.78193,                0.86321,                0.52771,                 1.3721,                0.87537,                 1.5359,             1.6637e-05,             1.6637e-05,             1.6637e-05
                      3,                 1.3459,                0.80841,                 1.5062,                0.80121,                0.81006,                0.86543,                0.53107,                 1.3764,                0.87748,                  1.536,             3.3208e-05,             3.3208e-05,             3.3208e-05
                      4,                 1.3001,                0.83431,                 1.5135,                0.81681,                0.80921,                0.86256,                 0.5169,                 1.3929,                0.88556,                 1.5407,             4.9713e-05,             4.9713e-05,             4.9713e-05
                      5,                 1.3178,                0.85499,                 1.5877,                0.82383,                0.81006,                0.85277,                0.51012,                 1.4066,                0.89553,                 1.5416,             6.6152e-05,             6.6152e-05,             6.6152e-05
                      6,                 1.2226,                0.78871,                 1.4971,                0.84705,                 0.7673,                0.85053,                0.52176,                 1.4017,                 0.8995,                 1.5359,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      7,                 1.3104,                0.80938,                  1.493,                0.84446,                 0.7673,                0.83389,                 0.5125,                 1.3949,                0.90008,                 1.5326,             9.8832e-05,             9.8832e-05,             9.8832e-05
                      8,                 1.3884,                0.87861,                 1.5426,                0.81499,                0.77673,                0.87237,                0.51382,                 1.3917,                0.90289,                 1.5377,             0.00011507,             0.00011507,             0.00011507
                      9,                 1.3043,                0.86709,                 1.5773,                0.79535,                0.78359,                0.86095,                0.51028,                 1.3705,                0.89535,                 1.5325,             0.00013125,             0.00013125,             0.00013125
                     10,                 1.3161,                0.85328,                 1.5664,                0.79873,                0.85359,                 0.8716,                0.51834,                 1.3581,                0.88656,                 1.5312,             0.00014736,             0.00014736,             0.00014736
                     11,                 1.3321,                0.88122,                 1.5388,                0.80352,                0.91006,                0.87697,                0.52603,                 1.3642,                0.88131,                  1.532,              0.0001634,              0.0001634,              0.0001634
                     12,                 1.3254,                0.81674,                   1.52,                0.82743,                0.88616,                0.88495,                0.54815,                 1.3773,                0.87978,                 1.5344,             0.00017938,             0.00017938,             0.00017938
                     13,                 1.3316,                0.84303,                 1.5305,                0.84527,                0.87673,                0.88843,                0.56637,                 1.3791,                0.88563,                 1.5372,             0.00019529,             0.00019529,             0.00019529
                     14,                 1.3568,                0.91377,                 1.5948,                0.83489,                 0.8434,                0.89036,                 0.5683,                 1.3853,                0.88881,                 1.5308,             0.00021113,             0.00021113,             0.00021113
                     15,                 1.3806,                0.82717,                 1.5392,                0.84713,                 0.8434,                0.90641,                0.55725,                 1.4042,                0.90383,                 1.5379,             0.00022691,             0.00022691,             0.00022691
                     16,                 1.2626,                 0.8408,                 1.5046,                0.88095,                0.81006,                0.91459,                0.53909,                 1.4186,                0.90732,                 1.5432,             0.00024262,             0.00024262,             0.00024262
                     17,                 1.3313,                0.85619,                 1.5515,                0.87503,                0.83443,                0.91618,                0.54588,                  1.405,                0.90299,                  1.548,             0.00025827,             0.00025827,             0.00025827
                     18,                 1.3348,                0.84773,                  1.495,                0.87503,                0.83443,                0.91618,                0.54588,                  1.405,                0.90299,                  1.548,             0.00027385,             0.00027385,             0.00027385
                     19,                 1.2845,                0.83507,                 1.5345,                0.82638,                 0.8309,                0.88312,                0.54354,                 1.3745,                0.90272,                 1.5493,             0.00028937,             0.00028937,             0.00028937
                     20,                  1.404,                0.85688,                 1.5334,                0.82638,                 0.8309,                0.88312,                0.54354,                 1.3745,                0.90272,                 1.5493,             0.00030481,             0.00030481,             0.00030481
                     21,                 1.2788,                0.82428,                 1.5299,                0.89784,                0.78043,                0.89941,                0.53098,                 1.4072,                0.92396,                 1.5741,              0.0003202,              0.0003202,              0.0003202
                     22,                  1.412,                0.89955,                 1.5097,                0.89784,                0.78043,                0.89941,                0.53098,                 1.4072,                0.92396,                 1.5741,             0.00033551,             0.00033551,             0.00033551
                     23,                 1.3853,                0.87857,                 1.5355,                0.92712,                 0.7661,                0.88938,                0.51681,                 1.4178,                0.94154,                 1.5753,             0.00035076,             0.00035076,             0.00035076
                     24,                 1.4215,                0.88107,                 1.5417,                0.92712,                 0.7661,                0.88938,                0.51681,                 1.4178,                0.94154,                 1.5753,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.2879,                0.88389,                 1.5813,                0.81369,                0.86712,                0.86901,                0.49129,                 1.4438,                0.93891,                 1.5678,             0.00038107,             0.00038107,             0.00038107
                     26,                 1.4365,                0.85873,                  1.537,                0.81369,                0.86712,                0.86901,                0.49129,                 1.4438,                0.93891,                 1.5678,             0.00039612,             0.00039612,             0.00039612
