                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3155,                 4.4985,                 1.2854,                      0,                      0,                      0,                      0,                 0.8702,                  4.639,                0.95173,                      0,                      0,                      0
                      2,                   1.32,                 4.5922,                 1.2204,                      0,                      0,                      0,                      0,                 0.8685,                 4.6399,                0.95228,             4.7506e-06,             4.7506e-06,             4.7506e-06
                      3,                  1.279,                 4.6344,                 1.2193,                      0,                      0,                      0,                      0,                0.86473,                 4.6376,                0.95069,             9.4823e-06,             9.4823e-06,             9.4823e-06
                      4,                 1.2798,                 4.6438,                  1.211,                      0,                      0,                      0,                      0,                0.85926,                 4.6338,                0.94912,             1.4195e-05,             1.4195e-05,             1.4195e-05
                      5,                  1.211,                 4.5583,                 1.1823,                      0,                      0,                      0,                      0,                0.85865,                 4.6321,                0.94793,             1.8889e-05,             1.8889e-05,             1.8889e-05
                      6,                 1.1679,                 4.5582,                 1.1586,                      0,                      0,                      0,                      0,                0.85303,                 4.6186,                0.94389,             2.3564e-05,             2.3564e-05,             2.3564e-05
                      7,                 1.1911,                 4.5659,                 1.1317,                      0,                      0,                      0,                      0,                0.83988,                 4.6073,                0.93463,             2.8221e-05,             2.8221e-05,             2.8221e-05
                      8,                 1.2735,                 4.5744,                 1.1541,                      0,                      0,                      0,                      0,                 0.8279,                 4.5916,                 0.9246,             3.2858e-05,             3.2858e-05,             3.2858e-05
                      9,                 1.0464,                 4.4335,                 1.1112,                      0,                      0,                      0,                      0,                0.80932,                  4.581,                0.91388,             3.7477e-05,             3.7477e-05,             3.7477e-05
                     10,                 1.1051,                 4.4521,                 1.1086,                      0,                      0,                      0,                      0,                0.79756,                 4.5659,                0.90828,             4.2077e-05,             4.2077e-05,             4.2077e-05
                     11,                  1.156,                 4.4058,                 1.1103,                      0,                      0,                      0,                      0,                0.80014,                 4.5466,                0.90235,             4.6658e-05,             4.6658e-05,             4.6658e-05
                     12,                 1.0613,                 4.3189,                 1.0649,                      0,                      0,                      0,                      0,                0.80763,                 4.5122,                0.89308,              5.122e-05,              5.122e-05,              5.122e-05
                     13,                 1.0792,                 4.2988,                  1.082,                      0,                      0,                      0,                      0,                0.81921,                 4.4775,                0.89439,             5.5763e-05,             5.5763e-05,             5.5763e-05
                     14,                  1.021,                 4.1411,                  1.047,                      0,                      0,                      0,                      0,                0.82436,                 4.4505,                0.89147,             6.0287e-05,             6.0287e-05,             6.0287e-05
                     15,                 1.0619,                 4.2188,                 1.0251,                      0,                      0,                      0,                      0,                0.82442,                  4.435,                0.88903,             6.4793e-05,             6.4793e-05,             6.4793e-05
                     16,                0.91983,                 4.0992,                0.97218,                0.10417,                  0.125,                0.08323,                0.07073,                0.82256,                 4.4234,                0.88263,             6.9279e-05,             6.9279e-05,             6.9279e-05
                     17,                0.96716,                 4.1413,                  1.001,                0.05833,                  0.125,                 0.0726,                0.06223,                0.81441,                 4.4107,                0.87678,             7.3747e-05,             7.3747e-05,             7.3747e-05
                     18,                0.96269,                 4.0743,                0.99892,                0.05833,                  0.125,                 0.0726,                0.06223,                0.81441,                 4.4107,                0.87678,             7.8196e-05,             7.8196e-05,             7.8196e-05
                     19,                0.94902,                 4.0324,                0.98569,                0.04167,                  0.125,                0.07597,                0.06631,                0.80756,                 4.3963,                0.87406,             8.2626e-05,             8.2626e-05,             8.2626e-05
                     20,                 1.0371,                 4.0839,                 1.0295,                0.04167,                  0.125,                0.07597,                0.06631,                0.80756,                 4.3963,                0.87406,             8.7038e-05,             8.7038e-05,             8.7038e-05
                     21,                 0.9014,                 3.9537,                0.98702,                0.06759,                0.18333,                0.09972,                0.09151,                0.80683,                 4.3787,                0.87285,              9.143e-05,              9.143e-05,              9.143e-05
                     22,                  1.032,                 4.0621,                 1.0079,                0.06759,                0.18333,                0.09972,                0.09151,                0.80683,                 4.3787,                0.87285,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     23,                 1.0147,                 4.0318,                0.99896,                0.09325,                0.24167,                0.13566,                0.12656,                 0.8087,                 4.3595,                0.87269,             0.00010016,             0.00010016,             0.00010016
                     24,                0.97507,                 3.9303,                 1.0028,                0.09325,                0.24167,                0.13566,                0.12656,                 0.8087,                 4.3595,                0.87269,             0.00010449,             0.00010449,             0.00010449
                     25,                0.96255,                 3.7631,                   1.02,                0.08835,                0.28333,                0.14851,                0.13953,                0.80426,                 4.3336,                 0.8703,             0.00010881,             0.00010881,             0.00010881
                     26,                  1.003,                   3.87,                0.97943,                0.08835,                0.28333,                0.14851,                0.13953,                0.80426,                 4.3336,                 0.8703,             0.00011311,             0.00011311,             0.00011311
                     27,                 0.9577,                 3.8638,                0.97292,                0.06535,                0.28333,                0.11924,                0.11255,                0.80236,                 4.2966,                0.86969,             0.00011739,             0.00011739,             0.00011739
                     28,                 0.9371,                 3.6591,                0.98002,                0.06535,                0.28333,                0.11924,                0.11255,                0.80236,                 4.2966,                0.86969,             0.00012165,             0.00012165,             0.00012165
                     29,                  0.924,                 3.6353,                0.96516,                0.05755,                0.28333,                0.12891,                0.12084,                0.79414,                 4.2454,                0.86298,             0.00012589,             0.00012589,             0.00012589
                     30,                0.89224,                 3.5854,                0.95625,                0.05755,                0.28333,                0.12891,                0.12084,                0.79414,                 4.2454,                0.86298,             0.00013011,             0.00013011,             0.00013011
                     31,                0.94592,                  3.618,                0.95609,                0.05847,                    0.3,                0.13273,                0.12429,                0.77762,                 4.1838,                0.85727,             0.00013432,             0.00013432,             0.00013432
                     32,                0.99474,                 3.5195,                 1.0056,                0.05847,                    0.3,                0.13273,                0.12429,                0.77762,                 4.1838,                0.85727,              0.0001385,              0.0001385,              0.0001385
                     33,                0.94474,                 3.3707,                0.99905,                0.10979,                0.31282,                0.18194,                0.16764,                 0.7729,                 4.1013,                0.85969,             0.00014267,             0.00014267,             0.00014267
                     34,                0.87572,                 3.3763,                0.95625,                0.10979,                0.31282,                0.18194,                0.16764,                 0.7729,                 4.1013,                0.85969,             0.00014682,             0.00014682,             0.00014682
                     35,                0.98983,                 3.5989,                0.98121,                0.11544,                 0.3406,                0.20214,                0.18406,                0.77842,                 3.9955,                0.86371,             0.00015094,             0.00015094,             0.00015094
                     36,                  0.915,                 3.4008,                 0.9563,                0.11544,                 0.3406,                0.20214,                0.18406,                0.77842,                 3.9955,                0.86371,             0.00015505,             0.00015505,             0.00015505
                     37,                0.96721,                 3.1992,                 1.0177,                0.11077,                0.44103,                0.21755,                0.19254,                0.79134,                 3.8709,                0.86752,             0.00015915,             0.00015915,             0.00015915
                     38,                0.96326,                 3.2014,                 1.0206,                0.11077,                0.44103,                0.21755,                0.19254,                0.79134,                 3.8709,                0.86752,             0.00016322,             0.00016322,             0.00016322
                     39,                0.94196,                 3.1707,                0.98409,                0.09707,                0.46026,                 0.2392,                0.21312,                0.80817,                 3.7278,                0.87318,             0.00016727,             0.00016727,             0.00016727
                     40,                0.98176,                 3.2767,                0.98097,                0.09707,                0.46026,                 0.2392,                0.21312,                0.80817,                 3.7278,                0.87318,              0.0001713,              0.0001713,              0.0001713
                     41,                0.96899,                 3.3056,                0.98692,                0.08741,                 0.4812,                0.25795,                0.23001,                0.82141,                 3.5942,                0.87616,             0.00017532,             0.00017532,             0.00017532
                     42,                 0.9224,                 3.2005,                0.96357,                0.08741,                 0.4812,                0.25795,                0.23001,                0.82141,                 3.5942,                0.87616,             0.00017932,             0.00017932,             0.00017932
                     43,                0.99754,                 3.3604,                0.95123,                0.08141,                0.49375,                0.30358,                 0.2754,                0.83123,                  3.473,                0.87873,             0.00018329,             0.00018329,             0.00018329
                     44,                0.96551,                 3.0418,                 1.0032,                0.08141,                0.49375,                0.30358,                 0.2754,                0.83123,                  3.473,                0.87873,             0.00018725,             0.00018725,             0.00018725
                     45,                0.93676,                 3.0149,                0.96493,                0.07737,                0.50208,                0.29325,                 0.2636,                0.84131,                 3.3681,                0.88146,             0.00019119,             0.00019119,             0.00019119
                     46,                0.97692,                 3.1034,                0.95918,                0.07737,                0.50208,                0.29325,                 0.2636,                0.84131,                 3.3681,                0.88146,             0.00019511,             0.00019511,             0.00019511
                     47,                0.93988,                 2.8037,                0.95353,                0.07519,                0.51042,                0.29614,                0.26334,                0.83684,                 3.3133,                0.88174,             0.00019902,             0.00019902,             0.00019902
                     48,                0.91692,                 2.9026,                0.96346,                0.07519,                0.51042,                0.29614,                0.26334,                0.83684,                 3.3133,                0.88174,              0.0002029,              0.0002029,              0.0002029
                     49,                0.98876,                 2.8862,                0.99223,                0.09136,                0.59931,                0.25263,                0.21483,                0.82955,                 3.2844,                0.88473,             0.00020677,             0.00020677,             0.00020677
